"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"47801-52977","P","Ken","Ken Giles","Giles","4","2","5500","TOR@ATL","TOR","ATL","IL","Forearm","","","0"
"47801-62196","P","Roberto","Roberto Osuna","Osuna","4.75","4","5500","HOU@ARI","HOU","ARI","IL","Elbow","","","0"
"47801-84731","P","Evan","Evan Phillips","Phillips","7.666666666666667","3","5500","BAL@MIA","BAL","MIA","","","","","0"
"47801-5885","P","Jhoulys","Jhoulys Chacin","Chacin","9","2","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-52994","P","Casey","Casey Sadler","Sadler","5.75","4","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-5911","P","Ross","Ross Detwiler","Detwiler","10.4","5","5500","MIL@CWS","CWS","MIL","","","","","0"
"47801-14103","P","Nick","Nick Vincent","Vincent","10","1","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-68465","P","Yoan","Yoan Lopez","Lopez","3.2","5","5500","HOU@ARI","ARI","HOU","","","","","0"
"47801-15222","P","Wilmer","Wilmer Font","Font","-1.3333333333333333","3","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-68474","P","Josh","Josh Hader","Hader","6","3","5500","MIL@CWS","MIL","CWS","","","","","0"
"47801-68507","P","Duane","Duane Underwood Jr.","Underwood Jr.","4.666666666666667","3","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-112540","P","Jeremy","Jeremy Walker","Walker","6.666666666666667","6","5500","TOR@ATL","ATL","TOR","IL","Shoulder","","","0"
"47801-8101","P","Ian","Ian Kennedy","Kennedy","5.4","5","5500","CHC@KAN","KAN","CHC","","","","","0"
"47801-6054","P","Mark","Mark Melancon","Melancon","5","3","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-52143","P","Hunter","Hunter Harvey","Harvey","7.857142857142857","7","5500","BAL@MIA","BAL","MIA","IL","Elbow","","","0"
"47801-70585","P","Richard","Richard Bleier","Bleier","7","4","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-68545","P","Stephen","Stephen Tarpley","Tarpley","5","3","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-68556","P","Dillon","Dillon Tate","Tate","4.875","16","5500","BAL@MIA","BAL","MIA","IL","Forearm","","","0"
"47801-13271","P","Will","Will Smith","Smith","7.301587301587301","63","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-62426","P","Josh A.","Josh A. Smith","Smith","9","1","5500","BAL@MIA","MIA","BAL","","","","","0"
"47801-52192","P","Luke","Luke Jackson","Jackson","6.6","5","5500","TOR@ATL","ATL","TOR","","","","","0"
"47801-52196","P","A.J.","A.J. Cole","Cole","6","3","5500","TOR@ATL","TOR","ATL","","","","","0"
"47801-15336","P","Kelvin","Kelvin Herrera","Herrera","2","2","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-64488","P","Colin","Colin Rea","Rea","9","1","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-68592","P","Francis","Francis Martes","Martes","0","0","5500","HOU@ARI","HOU","ARI","NA","Suspension","","","0"
"47801-81912","P","Dillon","Dillon Maples","Maples","0","2","5500","CHC@KAN","CHC","KAN","","","","","0"
"47801-21609","OF","Christian","Christian Yelich","Yelich","5.862500190734863","8","3900","MIL@CWS","MIL","CWS","","","","","3"
"47801-68522","3B","Alex","Alex Bregman","Bregman","11.063636086203836","11","3900","HOU@ARI","HOU","ARI","","","","","3"
"47801-14562","2B","Jose","Jose Altuve","Altuve","10.509090770374645","11","3700","HOU@ARI","HOU","ARI","","","","","2"
"47801-12940","1B","Anthony","Anthony Rizzo","Rizzo","11.858333587646484","12","3700","CHC@KAN","CHC","KAN","","","","","2"
"47801-79756","OF","Ronald","Ronald Acuna Jr.","Acuna Jr.","10.676923311673677","13","3700","TOR@ATL","ATL","TOR","","","","","1"
"47801-52147","3B","Kris","Kris Bryant","Bryant","9.98888905843099","9","3700","CHC@KAN","CHC","KAN","","","","","1"
"47801-11334","1B","Freddie","Freddie Freeman","Freeman","9.653846153846153","13","3600","TOR@ATL","ATL","TOR","","","","","3"
"47801-61553","3B","Yoan","Yoan Moncada","Moncada","11.51818154074929","11","3600","MIL@CWS","CWS","MIL","","","","","2"
"47801-21885","SS","Javier","Javier Baez","Baez","10.47499974568685","12","3500","CHC@KAN","CHC","KAN","","","","","3"
"47801-82575","OF","Yordan","Yordan Alvarez","Alvarez","14.202298569953305","87","3500","HOU@ARI","HOU","ARI","IL","Undisclosed","","","0"
"47801-70562","OF","Whit","Whit Merrifield","Merrifield","11.776923546424278","13","3500","CHC@KAN","KAN","CHC","","","","","1"
"47801-79093","OF","Eloy","Eloy Jimenez","Jimenez","11.9","10","3400","MIL@CWS","CWS","MIL","","","","","5"
"47801-16983","OF","George","George Springer","Springer","12.618182095614346","11","3400","HOU@ARI","HOU","ARI","","","","","1"
"47801-38614","SS","Carlos","Carlos Correa","Correa","12.363636363636363","11","3400","HOU@ARI","HOU","ARI","","","","","6"
"47801-6273","OF","Michael","Michael Brantley","Brantley","14.511111789279514","9","3300","HOU@ARI","HOU","ARI","","","","","4"
"47801-82605","2B","Keston","Keston Hiura","Hiura","10.344444274902344","9","3300","MIL@CWS","MIL","CWS","","","","","2"
"47801-17086","OF","Marcell","Marcell Ozuna","Ozuna","11.430769700270433","13","3300","TOR@ATL","ATL","TOR","","","","","4"
"47801-49523","1B","Jose","Jose Abreu","Abreu","10.966667175292969","12","3200","MIL@CWS","CWS","MIL","","","","","3"
"47801-82734","OF","Luis","Luis Robert","Robert","13.633333841959635","12","3200","MIL@CWS","CWS","MIL","","","","","1"
"47801-21887","C","Willson","Willson Contreras","Contreras","11.854544899680398","11","3100","CHC@KAN","CHC","KAN","","","","","5"
"47801-23107","OF","Jorge","Jorge Soler","Soler","8.292307927058292","13","3100","CHC@KAN","KAN","CHC","","","","","2"
"47801-68531","3B","Brian","Brian Anderson","Anderson","12.550000508626303","6","3100","BAL@MIA","MIA","BAL","","","","","5"
"47801-68586","SS","Dansby","Dansby Swanson","Swanson","13.807692307692308","13","3100","TOR@ATL","ATL","TOR","","","","","2"
"47801-13423","OF","Starling","Starling Marte","Marte","9.472726995294744","11","3000","HOU@ARI","ARI","HOU","","","","","3"
